400, PA5-E-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -33.918   0.277   -42.330   -33.918   0.277   -42.330   0.000
  -5.903   9.051   -12.211   -5.903   9.051   -12.211   0.000
  -14.290   -29.964   -26.576   -14.290   -29.964   -26.576   0.000
  -27.419   8.268   -35.022   -27.419   8.268   -35.022   0.000
  -43.480   -17.961   -15.984   -43.480   -17.961   -15.984   0.000
  23.785   0.249   40.836   23.785   0.249   40.836   0.000
  -5.333   -21.429   -34.287   -5.333   -21.429   -34.287   0.000
  0.114   -9.747   33.976   0.114   -9.747   33.976   0.000
  -6.026   17.820   48.183   -6.026   17.820   48.183   0.000
  -27.735   9.222   -20.266   -27.735   9.222   -20.266   0.000
  18.323   8.868   54.086   18.323   8.868   54.086   0.000
  -4.186   -15.970   -36.291   -4.186   -15.970   -36.291   0.000
  -44.778   -17.932   -23.546   -44.778   -17.932   -23.546   0.000
  -17.109   -29.799   -34.617   -17.109   -29.799   -34.617   0.000
  11.144   -6.745   -21.291   11.144   -6.745   -21.291   0.000
  23.287   -3.452   -25.052   23.287   -3.452   -25.052   0.000
  -24.437   4.195   -14.127   -24.437   4.195   -14.127   0.000
  -28.328   5.903   -39.434   -28.328   5.903   -39.434   0.000
  -18.200   7.108   -1.809   -18.200   7.108   -1.809   0.000
  -25.338   6.987   -15.895   -25.338   6.987   -15.895   0.000
  14.789   24.887   8.653   14.789   24.887   8.653   0.000
  -25.029   -24.121   -43.650   -25.029   -24.121   -43.650   0.000
  -23.902   11.663   6.124   -23.902   11.663   6.124   0.000
  20.579   4.083   51.270   20.579   4.083   51.270   0.000
  -43.658   -20.308   -29.971   -43.658   -20.308   -29.971   0.000
  -3.518   6.701   -17.265   -3.518   6.701   -17.265   0.000
  18.739   10.193   51.695   18.739   10.193   51.695   0.000
  -16.187   15.255   6.350   -16.187   15.255   6.350   0.000
  13.493   -11.990   11.600   13.493   -11.990   11.600   0.000
  29.422   7.860   23.215   29.422   7.860   23.215   0.000
  -12.388   -10.379   15.697   -12.388   -10.379   15.697   0.000
  13.320   -9.129   40.855   13.320   -9.129   40.855   0.000
  -30.151   -31.998   -20.160   -30.151   -31.998   -20.160   0.000
  -22.993   -12.585   -48.975   -22.993   -12.585   -48.975   0.000
  20.541   7.963   48.476   20.541   7.963   48.476   0.000
  10.646   26.140   2.724   10.646   26.140   2.724   0.000
  33.624   0.144   19.787   33.624   0.144   19.787   0.000
  5.062   -18.283   -10.650   5.062   -18.283   -10.650   0.000
  -1.585   -5.135   -26.594   -1.585   -5.135   -26.594   0.000
  -1.291   14.862   54.649   -1.291   14.862   54.649   0.000
  -21.718   0.040   -43.887   -21.718   0.040   -43.887   0.000
  -10.870   -24.003   -9.523   -10.870   -24.003   -9.523   0.000
  -39.354   4.712   -31.405   -39.354   4.712   -31.405   0.000
  6.852   21.260   34.869   6.852   21.260   34.869   0.000
  -15.759   8.825   33.209   -15.759   8.825   33.209   0.000
  -17.358   11.775   4.490   -17.358   11.775   4.490   0.000
  2.400   14.403   -11.905   2.400   14.403   -11.905   0.000
  -5.953   -16.353   0.685   -5.953   -16.353   0.685   0.000
  -18.864   6.031   -38.190   -18.864   6.031   -38.190   0.000
  -44.116   -19.276   -16.847   -44.116   -19.276   -16.847   0.000
  22.583   1.456   45.076   22.583   1.456   45.076   0.000
  -15.908   -30.807   -25.307   -15.908   -30.807   -25.307   0.000
  -41.891   -25.348   -22.219   -41.891   -25.348   -22.219   0.000
  10.004   -8.918   32.444   10.004   -8.918   32.444   0.000
  -27.289   -7.706   -3.813   -27.289   -7.706   -3.813   0.000
  -12.273   -4.633   47.910   -12.273   -4.633   47.910   0.000
  -43.537   -21.326   -24.153   -43.537   -21.326   -24.153   0.000
  8.674   -14.445   -19.115   8.674   -14.445   -19.115   0.000
  -30.926   -29.244   -14.886   -30.926   -29.244   -14.886   0.000
  17.324   13.427   47.084   17.324   13.427   47.084   0.000
  -13.093   -27.156   -18.408   -13.093   -27.156   -18.408   0.000
  15.088   23.629   -18.995   15.088   23.629   -18.995   0.000
  4.709   25.610   2.767   4.709   25.610   2.767   0.000
  -11.755   -11.524   13.477   -11.755   -11.524   13.477   0.000
  -14.606   8.384   39.478   -14.606   8.384   39.478   0.000
  -8.447   4.987   -23.006   -8.447   4.987   -23.006   0.000
  -7.744   -9.078   36.457   -7.744   -9.078   36.457   0.000
  -45.225   -13.719   -17.430   -45.225   -13.719   -17.430   0.000
  -17.922   8.564   -18.803   -17.922   8.564   -18.803   0.000
  -19.877   8.192   -31.422   -19.877   8.192   -31.422   0.000
  -44.322   -17.903   -27.369   -44.322   -17.903   -27.369   0.000
  -4.115   21.465   25.976   -4.115   21.465   25.976   0.000
  9.265   19.091   48.754   9.265   19.091   48.754   0.000
  -25.020   -2.123   -46.650   -25.020   -2.123   -46.650   0.000
  14.567   1.583   55.116   14.567   1.583   55.116   0.000
  33.169   -8.994   4.774   33.169   -8.994   4.774   0.000
  23.570   7.303   39.955   23.570   7.303   39.955   0.000
  25.605   -7.898   16.979   25.605   -7.898   16.979   0.000
  -40.822   -26.190   -27.154   -40.822   -26.190   -27.154   0.000
  -43.449   -21.706   -22.774   -43.449   -21.706   -22.774   0.000
  17.156   1.554   54.725   17.156   1.554   54.725   0.000
  -25.718   13.379   14.047   -25.718   13.379   14.047   0.000
  -19.768   7.378   1.302   -19.768   7.378   1.302   0.000
  -24.097   20.689   12.545   -24.097   20.689   12.545   0.000
  -25.890   6.654   -15.678   -25.890   6.654   -15.678   0.000
  22.929   -12.880   5.069   22.929   -12.880   5.069   0.000
  -12.780   11.751   42.852   -12.780   11.751   42.852   0.000
  2.697   -4.182   55.339   2.697   -4.182   55.339   0.000
  -0.433   -9.738   38.543   -0.433   -9.738   38.543   0.000
  -8.529   -9.033   36.757   -8.529   -9.033   36.757   0.000
  -25.929   11.408   12.645   -25.929   11.408   12.645   0.000
  -12.547   -26.897   -33.909   -12.547   -26.897   -33.909   0.000
  -9.545   -25.206   -33.954   -9.545   -25.206   -33.954   0.000
  -14.141   -3.335   33.892   -14.141   -3.335   33.892   0.000
  22.533   -7.204   27.658   22.533   -7.204   27.658   0.000
  17.187   24.917   2.525   17.187   24.917   2.525   0.000
  22.709   0.254   -30.975   22.709   0.254   -30.975   0.000
  23.018   -0.119   43.020   23.018   -0.119   43.020   0.000
  30.268   10.334   18.393   30.268   10.334   18.393   0.000
  11.914   23.538   21.851   11.914   23.538   21.851   0.000
  -10.885   1.752   -32.738   -10.885   1.752   -32.738   0.000
  27.860   5.726   28.593   27.860   5.726   28.593   0.000
  -2.971   22.524   12.839   -2.971   22.524   12.839   0.000
  16.535   14.906   42.643   16.535   14.906   42.643   0.000
  -12.722   -5.130   43.973   -12.722   -5.130   43.973   0.000
  -25.124   -3.841   0.299   -25.124   -3.841   0.299   0.000
  -2.059   -0.525   54.737   -2.059   -0.525   54.737   0.000
  -44.956   -10.070   -17.342   -44.956   -10.070   -17.342   0.000
  -34.789   2.999   -39.214   -34.789   2.999   -39.214   0.000
  -25.386   -13.058   -4.367   -25.386   -13.058   -4.367   0.000
  -7.087   -14.670   -40.518   -7.087   -14.670   -40.518   0.000
  -38.700   1.270   -15.130   -38.700   1.270   -15.130   0.000
  9.873   14.743   -28.098   9.873   14.743   -28.098   0.000
  -33.675   -27.083   -14.073   -33.675   -27.083   -14.073   0.000
  -29.528   6.950   -36.926   -29.528   6.950   -36.926   0.000
  -13.528   11.486   1.004   -13.528   11.486   1.004   0.000
  30.816   7.471   -28.294   30.816   7.471   -28.294   0.000
  11.586   -9.066   30.317   11.586   -9.066   30.317   0.000
  20.822   -16.993   -12.912   20.822   -16.993   -12.912   0.000
  24.687   -6.393   25.120   24.687   -6.393   25.120   0.000
  -3.174   -19.371   -36.810   -3.174   -19.371   -36.810   0.000
  12.669   16.776   47.382   12.669   16.776   47.382   0.000
  11.343   24.682   -11.744   11.343   24.682   -11.744   0.000
  38.294   -2.607   7.624   38.294   -2.607   7.624   0.000
  -15.931   1.947   -40.925   -15.931   1.947   -40.925   0.000
  25.093   21.825   -20.440   25.093   21.825   -20.440   0.000
  8.532   -9.670   45.948   8.532   -9.670   45.948   0.000
  -16.971   8.423   0.028   -16.971   8.423   0.028   0.000
  10.164   -15.257   4.954   10.164   -15.257   4.954   0.000
  29.410   21.148   1.635   29.410   21.148   1.635   0.000
  0.092   19.854   41.280   0.092   19.854   41.280   0.000
  33.301   3.024   -22.573   33.301   3.024   -22.573   0.000
  31.291   3.953   23.539   31.291   3.953   23.539   0.000
  34.733   -6.275   2.123   34.733   -6.275   2.123   0.000
  20.204   -1.638   50.767   20.204   -1.638   50.767   0.000
  1.826   21.113   32.413   1.826   21.113   32.413   0.000
  -42.972   -21.515   -30.132   -42.972   -21.515   -30.132   0.000
  12.161   -18.822   -2.077   12.161   -18.822   -2.077   0.000
  -6.370   -24.655   -29.857   -6.370   -24.655   -29.857   0.000
  -23.425   16.402   21.764   -23.425   16.402   21.764   0.000
  -16.420   -27.987   -37.683   -16.420   -27.987   -37.683   0.000
  -25.962   8.046   -35.815   -25.962   8.046   -35.815   0.000
  -12.702   -4.468   47.228   -12.702   -4.468   47.228   0.000
  32.406   16.795   10.673   32.406   16.795   10.673   0.000
  18.600   25.157   -6.317   18.600   25.157   -6.317   0.000
  -10.676   -26.058   -18.278   -10.676   -26.058   -18.278   0.000
  -18.362   6.846   -2.658   -18.362   6.846   -2.658   0.000
  -6.571   -20.713   -36.689   -6.571   -20.713   -36.689   0.000
  33.793   16.101   -9.691   33.793   16.101   -9.691   0.000
  -42.563   2.434   -24.230   -42.563   2.434   -24.230   0.000
  9.297   16.777   -27.619   9.297   16.777   -27.619   0.000
  -4.678   -23.750   -27.590   -4.678   -23.750   -27.590   0.000
  -26.775   13.500   8.408   -26.775   13.500   8.408   0.000
  34.179   3.888   18.411   34.179   3.888   18.411   0.000
  -6.281   -24.303   -29.981   -6.281   -24.303   -29.981   0.000
  12.561   -19.248   -4.848   12.561   -19.248   -4.848   0.000
  12.911   14.329   -35.557   12.911   14.329   -35.557   0.000
  -41.423   -11.410   -11.812   -41.423   -11.410   -11.812   0.000
  21.339   -19.311   -7.450   21.339   -19.311   -7.450   0.000
  -6.653   -15.035   4.780   -6.653   -15.035   4.780   0.000
  -36.132   -8.339   -7.671   -36.132   -8.339   -7.671   0.000
  10.014   -8.876   38.947   10.014   -8.876   38.947   0.000
  -17.224   -30.826   -30.199   -17.224   -30.826   -30.199   0.000
  7.230   -10.740   -21.986   7.230   -10.740   -21.986   0.000
  6.146   -7.254   54.879   6.146   -7.254   54.879   0.000
  22.093   -11.862   -18.874   22.093   -11.862   -18.874   0.000
  -2.810   15.922   54.222   -2.810   15.922   54.222   0.000
  -38.817   2.790   -35.824   -38.817   2.790   -35.824   0.000
  -0.334   22.337   -0.157   -0.334   22.337   -0.157   0.000
  -37.056   7.776   -27.069   -37.056   7.776   -27.069   0.000
  -15.566   0.565   48.628   -15.566   0.565   48.628   0.000
  -31.021   -31.267   -34.321   -31.021   -31.267   -34.321   0.000
  -11.835   -9.596   -43.966   -11.835   -9.596   -43.966   0.000
  -23.122   -24.922   -10.172   -23.122   -24.922   -10.172   0.000
  22.995   8.146   40.539   22.995   8.146   40.539   0.000
  37.555   12.311   -4.908   37.555   12.311   -4.908   0.000
  -40.829   4.432   -26.771   -40.829   4.432   -26.771   0.000
  -39.086   -14.972   -45.523   -39.086   -14.972   -45.523   0.000
  -6.503   -0.662   -27.773   -6.503   -0.662   -27.773   0.000
  1.723   21.298   -7.277   1.723   21.298   -7.277   0.000
  -3.089   -21.007   -34.785   -3.089   -21.007   -34.785   0.000
  -40.912   -5.974   -11.468   -40.912   -5.974   -11.468   0.000
  -22.421   8.423   -34.460   -22.421   8.423   -34.460   0.000
  -11.879   6.968   -16.698   -11.879   6.968   -16.698   0.000
  -38.829   -27.235   -18.810   -38.829   -27.235   -18.810   0.000
  -35.132   -26.035   -13.564   -35.132   -26.035   -13.564   0.000
  -11.017   3.558   -28.561   -11.017   3.558   -28.561   0.000
  -13.702   10.963   49.792   -13.702   10.963   49.792   0.000
  -15.105   15.641   30.816   -15.105   15.641   30.816   0.000
  -24.675   6.717   9.180   -24.675   6.717   9.180   0.000
  2.681   21.297   -8.677   2.681   21.297   -8.677   0.000
  36.643   12.897   -8.549   36.643   12.897   -8.549   0.000
  4.472   -6.279   55.177   4.472   -6.279   55.177   0.000
  14.349   0.421   -21.558   14.349   0.421   -21.558   0.000
  -11.382   -27.292   -20.739   -11.382   -27.292   -20.739   0.000
  12.588   9.952   -27.492   12.588   9.952   -27.492   0.000
  19.761   -16.535   0.517   19.761   -16.535   0.517   0.000
  -15.466   0.654   39.149   -15.466   0.654   39.149   0.000
  -20.056   -12.125   -47.994   -20.056   -12.125   -47.994   0.000
  -42.390   -23.439   -18.641   -42.390   -23.439   -18.641   0.000
  -36.359   7.890   -29.497   -36.359   7.890   -29.497   0.000
  23.857   -11.258   -21.419   23.857   -11.258   -21.419   0.000
  20.088   -1.200   50.794   20.088   -1.200   50.794   0.000
  -17.260   -7.710   12.858   -17.260   -7.710   12.858   0.000
  -45.703   -10.039   -18.090   -45.703   -10.039   -18.090   0.000
  -42.021   2.172   -28.311   -42.021   2.172   -28.311   0.000
  12.454   24.155   15.996   12.454   24.155   15.996   0.000
  3.122   -9.664   39.532   3.122   -9.664   39.532   0.000
  -14.927   -29.011   -32.852   -14.927   -29.011   -32.852   0.000
