400, PA5-F-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -21.119   5.399   -35.853   -21.119   5.399   -35.853   0.000
  -9.626   -4.540   43.893   -9.626   -4.540   43.893   0.000
  31.409   19.015   -13.761   31.409   19.015   -13.761   0.000
  -31.995   -11.994   -38.125   -31.995   -11.994   -38.125   0.000
  33.088   15.015   12.582   33.088   15.015   12.582   0.000
  -12.255   15.854   55.240   -12.255   15.854   55.240   0.000
  -31.775   -24.971   -30.876   -31.775   -24.971   -30.876   0.000
  -13.784   24.441   36.070   -13.784   24.441   36.070   0.000
  -13.327   24.942   33.884   -13.327   24.942   33.884   0.000
  -30.220   -27.995   -16.420   -30.220   -27.995   -16.420   0.000
  -35.148   -21.168   -33.678   -35.148   -21.168   -33.678   0.000
  -12.306   -6.851   -44.080   -12.306   -6.851   -44.080   0.000
  -6.072   26.342   22.521   -6.072   26.342   22.521   0.000
  -6.821   -17.482   -5.715   -6.821   -17.482   -5.715   0.000
  -1.466   -6.528   -41.410   -1.466   -6.528   -41.410   0.000
  -3.668   -29.128   -32.478   -3.668   -29.128   -32.478   0.000
  -35.328   -16.669   -32.514   -35.328   -16.669   -32.514   0.000
  27.208   18.538   11.871   27.208   18.538   11.871   0.000
  43.390   2.850   -3.044   43.390   2.850   -3.044   0.000
  -3.320   -11.184   -43.888   -3.320   -11.184   -43.888   0.000
  -28.275   -22.265   -6.818   -28.275   -22.265   -6.818   0.000
  -20.240   23.131   27.603   -20.240   23.131   27.603   0.000
  5.265   24.671   12.386   5.265   24.671   12.386   0.000
  -14.947   11.894   37.248   -14.947   11.894   37.248   0.000
  -12.955   -32.378   -14.306   -12.955   -32.378   -14.306   0.000
  -25.353   -29.918   -14.383   -25.353   -29.918   -14.383   0.000
  5.366   -3.908   65.543   5.366   -3.908   65.543   0.000
  3.650   -14.484   -22.921   3.650   -14.484   -22.921   0.000
  -6.749   25.340   30.731   -6.749   25.340   30.731   0.000
  5.672   -8.444   57.880   5.672   -8.444   57.880   0.000
  26.820   -19.679   -8.749   26.820   -19.679   -8.749   0.000
  -35.373   -23.307   -29.857   -35.373   -23.307   -29.857   0.000
  36.264   12.283   13.393   36.264   12.283   13.393   0.000
  -11.449   -7.899   22.391   -11.449   -7.899   22.391   0.000
  16.562   -21.415   -14.800   16.562   -21.415   -14.800   0.000
  15.081   4.351   -19.442   15.081   4.351   -19.442   0.000
  -1.897   5.394   -27.053   -1.897   5.394   -27.053   0.000
  12.592   19.174   31.199   12.592   19.174   31.199   0.000
  12.621   -12.110   9.394   12.621   -12.110   9.394   0.000
  4.764   -11.362   11.306   4.764   -11.362   11.306   0.000
  -10.135   -11.393   5.066   -10.135   -11.393   5.066   0.000
  -6.794   8.747   -24.564   -6.794   8.747   -24.564   0.000
  35.161   3.802   -21.960   35.161   3.802   -21.960   0.000
  -38.208   -19.132   -19.321   -38.208   -19.132   -19.321   0.000
  10.146   13.796   -15.962   10.146   13.796   -15.962   0.000
  15.676   19.114   -33.870   15.676   19.114   -33.870   0.000
  -6.925   -28.073   -37.291   -6.925   -28.073   -37.291   0.000
  -4.890   -8.065   35.885   -4.890   -8.065   35.885   0.000
  19.815   9.503   52.597   19.815   9.503   52.597   0.000
  -3.062   24.419   28.733   -3.062   24.419   28.733   0.000
  -5.115   -30.662   -31.508   -5.115   -30.662   -31.508   0.000
  -5.283   11.530   -6.195   -5.283   11.530   -6.195   0.000
  -16.178   9.695   -29.542   -16.178   9.695   -29.542   0.000
  13.824   18.653   59.463   13.824   18.653   59.463   0.000
  9.207   10.626   -13.827   9.207   10.626   -13.827   0.000
  -35.984   -22.262   -18.403   -35.984   -22.262   -18.403   0.000
  14.913   17.607   62.420   14.913   17.607   62.420   0.000
  -22.339   4.417   -15.721   -22.339   4.417   -15.721   0.000
  -38.653   -18.863   -26.888   -38.653   -18.863   -26.888   0.000
  -25.459   -30.797   -16.560   -25.459   -30.797   -16.560   0.000
  14.426   21.260   16.072   14.426   21.260   16.072   0.000
  -33.153   -1.004   -13.987   -33.153   -1.004   -13.987   0.000
  10.270   -5.731   57.502   10.270   -5.731   57.502   0.000
  22.720   -18.593   -27.114   22.720   -18.593   -27.114   0.000
  34.508   -13.059   1.042   34.508   -13.059   1.042   0.000
  -11.123   -21.651   -42.562   -11.123   -21.651   -42.562   0.000
  0.541   -8.757   58.200   0.541   -8.757   58.200   0.000
  23.457   10.616   36.154   23.457   10.616   36.154   0.000
  -39.272   -16.045   -20.380   -39.272   -16.045   -20.380   0.000
  19.974   12.926   49.731   19.974   12.926   49.731   0.000
  17.854   13.498   62.831   17.854   13.498   62.831   0.000
  -17.963   14.909   36.631   -17.963   14.909   36.631   0.000
  -1.976   -9.234   54.777   -1.976   -9.234   54.777   0.000
  40.641   7.958   4.638   40.641   7.958   4.638   0.000
  -19.263   20.693   19.551   -19.263   20.693   19.551   0.000
  21.737   21.951   -29.482   21.737   21.951   -29.482   0.000
  -37.349   -13.280   -14.716   -37.349   -13.280   -14.716   0.000
  -13.374   10.934   59.114   -13.374   10.934   59.114   0.000
  -37.868   -15.924   -31.143   -37.868   -15.924   -31.143   0.000
  -32.240   1.781   -15.077   -32.240   1.781   -15.077   0.000
  -33.253   -0.002   -14.493   -33.253   -0.002   -14.493   0.000
  37.424   13.101   -0.606   37.424   13.101   -0.606   0.000
  12.413   11.137   -18.480   12.413   11.137   -18.480   0.000
  -31.182   -13.801   -38.703   -31.182   -13.801   -38.703   0.000
  15.348   4.503   64.715   15.348   4.503   64.715   0.000
  1.611   -21.627   -29.986   1.611   -21.627   -29.986   0.000
  -31.426   2.014   -15.396   -31.426   2.014   -15.396   0.000
  -14.024   10.980   37.231   -14.024   10.980   37.231   0.000
  -13.392   8.951   -32.538   -13.392   8.951   -32.538   0.000
  -13.576   -3.324   19.642   -13.576   -3.324   19.642   0.000
  -12.961   5.276   53.192   -12.961   5.276   53.192   0.000
  -35.462   -22.990   -30.401   -35.462   -22.990   -30.401   0.000
  9.724   25.390   -4.075   9.724   25.390   -4.075   0.000
  -15.650   -12.428   -44.626   -15.650   -12.428   -44.626   0.000
  36.001   -10.228   8.063   36.001   -10.228   8.063   0.000
  7.423   -9.396   -25.042   7.423   -9.396   -25.042   0.000
  31.595   2.142   -32.241   31.595   2.142   -32.241   0.000
  -4.395   8.681   -14.494   -4.395   8.681   -14.494   0.000
  -8.662   19.736   54.213   -8.662   19.736   54.213   0.000
  -12.878   13.454   57.005   -12.878   13.454   57.005   0.000
  -9.862   -33.103   -29.139   -9.862   -33.103   -29.139   0.000
  15.322   15.321   -34.920   15.322   15.321   -34.920   0.000
  4.111   -15.383   -20.491   4.111   -15.383   -20.491   0.000
  14.653   7.753   -27.072   14.653   7.753   -27.072   0.000
  3.441   23.737   18.593   3.441   23.737   18.593   0.000
  21.542   -14.253   0.674   21.542   -14.253   0.674   0.000
  0.778   -22.626   -35.577   0.778   -22.626   -35.577   0.000
  -3.390   -24.244   -15.516   -3.390   -24.244   -15.516   0.000
  -40.092   -15.676   -30.173   -40.092   -15.676   -30.173   0.000
  -17.280   24.166   34.156   -17.280   24.166   34.156   0.000
  -31.596   3.782   -25.781   -31.596   3.782   -25.781   0.000
  -21.766   -13.592   -3.320   -21.766   -13.592   -3.320   0.000
  -2.289   -11.862   -43.378   -2.289   -11.862   -43.378   0.000
  -13.982   -0.507   20.760   -13.982   -0.507   20.760   0.000
  -7.979   -6.709   52.970   -7.979   -6.709   52.970   0.000
  17.046   0.296   51.507   17.046   0.296   51.507   0.000
  -16.330   -0.834   5.864   -16.330   -0.834   5.864   0.000
  35.361   9.356   -22.424   35.361   9.356   -22.424   0.000
  -9.235   -5.801   54.521   -9.235   -5.801   54.521   0.000
  -7.225   -11.194   17.334   -7.225   -11.194   17.334   0.000
  32.726   16.969   -16.174   32.726   16.969   -16.174   0.000
  -24.746   -32.232   -21.982   -24.746   -32.232   -21.982   0.000
  -29.392   -3.383   -10.574   -29.392   -3.383   -10.574   0.000
  -15.826   6.873   -35.274   -15.826   6.873   -35.274   0.000
  0.671   -11.919   13.065   0.671   -11.919   13.065   0.000
  -9.604   19.038   10.627   -9.604   19.038   10.627   0.000
  -7.936   19.401   56.573   -7.936   19.401   56.573   0.000
  -11.144   23.351   15.089   -11.144   23.351   15.089   0.000
  -35.152   -10.954   -33.361   -35.152   -10.954   -33.361   0.000
  -39.986   -13.331   -22.049   -39.986   -13.331   -22.049   0.000
  15.619   23.732   -17.678   15.619   23.732   -17.678   0.000
  -12.383   12.228   9.006   -12.383   12.228   9.006   0.000
  -26.231   -0.369   -14.181   -26.231   -0.369   -14.181   0.000
  -25.986   -17.467   -5.240   -25.986   -17.467   -5.240   0.000
  16.597   24.375   -13.677   16.597   24.375   -13.677   0.000
  -6.929   21.433   9.282   -6.929   21.433   9.282   0.000
  33.314   5.193   -28.273   33.314   5.193   -28.273   0.000
  12.173   15.366   -33.824   12.173   15.366   -33.824   0.000
  -0.078   3.755   -24.136   -0.078   3.755   -24.136   0.000
  40.197   0.450   9.896   40.197   0.450   9.896   0.000
  28.022   14.789   17.226   28.022   14.789   17.226   0.000
  -12.787   15.633   53.809   -12.787   15.633   53.809   0.000
  -21.978   -30.555   -33.390   -21.978   -30.555   -33.390   0.000
  -3.786   -8.649   46.116   -3.786   -8.649   46.116   0.000
  -34.086   -19.524   -34.359   -34.086   -19.524   -34.359   0.000
  -12.643   11.014   -25.774   -12.643   11.014   -25.774   0.000
  32.799   -13.068   -25.331   32.799   -13.068   -25.331   0.000
  6.407   -11.100   12.635   6.407   -11.100   12.635   0.000
  39.641   0.642   10.364   39.641   0.642   10.364   0.000
  24.164   -20.629   -9.267   24.164   -20.629   -9.267   0.000
  4.431   -9.447   40.127   4.431   -9.447   40.127   0.000
  -19.809   9.138   -29.267   -19.809   9.138   -29.267   0.000
  38.584   5.962   11.408   38.584   5.962   11.408   0.000
  31.324   14.971   -24.079   31.324   14.971   -24.079   0.000
  -36.156   -21.177   -16.340   -36.156   -21.177   -16.340   0.000
  -6.893   25.944   27.019   -6.893   25.944   27.019   0.000
  -27.577   4.737   -18.119   -27.577   4.737   -18.119   0.000
  -16.632   1.982   1.008   -16.632   1.982   1.008   0.000
  -1.713   -26.169   -34.078   -1.713   -26.169   -34.078   0.000
  -3.109   6.354   -23.559   -3.109   6.354   -23.559   0.000
  -3.441   -25.762   -37.094   -3.441   -25.762   -37.094   0.000
  3.379   21.292   34.248   3.379   21.292   34.248   0.000
  -0.159   -9.147   46.632   -0.159   -9.147   46.632   0.000
  -2.941   -12.136   14.848   -2.941   -12.136   14.848   0.000
  -1.678   -14.130   2.086   -1.678   -14.130   2.086   0.000
  4.127   15.597   64.208   4.127   15.597   64.208   0.000
  -34.595   -21.366   -13.215   -34.595   -21.366   -13.215   0.000
  14.998   6.902   -22.662   14.998   6.902   -22.662   0.000
  -10.360   -28.185   -8.546   -10.360   -28.185   -8.546   0.000
  -12.910   6.717   51.322   -12.910   6.717   51.322   0.000
  11.792   -3.777   58.948   11.792   -3.777   58.948   0.000
  -5.315   21.033   47.385   -5.315   21.033   47.385   0.000
  5.425   -18.237   -15.216   5.425   -18.237   -15.216   0.000
  -17.069   9.072   -18.937   -17.069   9.072   -18.937   0.000
  -33.039   -22.578   -12.092   -33.039   -22.578   -12.092   0.000
  31.270   -14.701   -26.439   31.270   -14.701   -26.439   0.000
  -19.552   3.062   -12.570   -19.552   3.062   -12.570   0.000
  -12.811   26.919   25.850   -12.811   26.919   25.850   0.000
  -39.304   -5.784   -29.144   -39.304   -5.784   -29.144   0.000
  1.797   4.556   -20.808   1.797   4.556   -20.808   0.000
  -18.902   9.925   -28.002   -18.902   9.925   -28.002   0.000
  25.307   12.227   -32.382   25.307   12.227   -32.382   0.000
  -16.426   -12.851   -45.314   -16.426   -12.851   -45.314   0.000
  8.753   -12.450   6.272   8.753   -12.450   6.272   0.000
  29.967   17.455   11.412   29.967   17.455   11.412   0.000
  41.393   -0.787   -11.167   41.393   -0.787   -11.167   0.000
  -12.470   -30.633   -11.479   -12.470   -30.633   -11.479   0.000
  -17.471   -4.471   1.857   -17.471   -4.471   1.857   0.000
